"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2012","79.987","80.320","80.375","79.900","14.49K","-0.41%"
"Oct 29, 2012","80.318","80.075","80.425","80.075","11.54K","0.20%"
"Oct 26, 2012","80.156","80.185","80.375","80.000","24.92K","0.05%"
"Oct 25, 2012","80.118","80.075","80.225","79.775","17.23K","0.13%"
"Oct 24, 2012","80.015","80.035","80.245","79.910","18.54K","-0.08%"
"Oct 23, 2012","80.080","79.620","80.155","79.620","21.58K","0.43%"
"Oct 22, 2012","79.736","79.700","79.755","79.535","14.74K","0.06%"
"Oct 19, 2012","79.688","79.425","79.745","79.370","17.72K","0.33%"
"Oct 18, 2012","79.425","79.120","79.465","79.035","17.86K","0.46%"
"Oct 17, 2012","79.059","79.215","79.275","78.970","18.83K","-0.51%"
"Oct 16, 2012","79.464","79.745","79.810","79.365","19.14K","-0.43%"
"Oct 15, 2012","79.806","79.820","80.045","79.680","14.00K","0.08%"
"Oct 12, 2012","79.740","79.850","79.900","79.575","15.02K","-0.15%"
"Oct 11, 2012","79.860","80.145","80.295","79.780","17.28K","-0.20%"
"Oct 10, 2012","80.017","80.185","80.310","79.935","18.39K","-0.06%"
"Oct 09, 2012","80.069","79.650","80.195","79.570","24.27K","0.56%"
"Oct 08, 2012","79.622","79.465","79.805","79.430","8.99K","0.24%"
"Oct 05, 2012","79.428","79.480","79.525","79.180","17.73K","-0.02%"
"Oct 04, 2012","79.440","79.940","80.005","79.355","20.03K","-0.78%"
"Oct 03, 2012","80.064","79.855","80.095","79.795","13.94K","0.29%"
"Oct 02, 2012","79.830","79.890","79.940","79.555","15.25K","-0.10%"
"Oct 01, 2012","79.909","80.045","80.250","79.670","18.31K","-0.14%"
"Sep 28, 2012","80.025","79.625","80.090","79.420","22.45K","0.54%"
"Sep 27, 2012","79.592","79.865","80.010","79.550","18.22K","-0.45%"
"Sep 26, 2012","79.948","79.725","80.080","79.670","17.20K","0.43%"
"Sep 25, 2012","79.608","79.555","79.755","79.375","16.29K","0.04%"
"Sep 24, 2012","79.577","79.420","79.825","79.420","18.01K","0.23%"
"Sep 21, 2012","79.398","79.460","79.520","79.110","18.66K","-0.10%"
"Sep 20, 2012","79.478","79.135","79.755","79.130","27.15K","0.44%"
"Sep 19, 2012","79.127","79.270","79.485","79.070","19.02K","-0.28%"
"Sep 18, 2012","79.346","79.085","79.365","79.035","15.26K","0.64%"
"Sep 17, 2012","78.843","78.840","79.015","78.750","0.88K","0.00%"
"Sep 14, 2012","78.841","79.230","79.265","78.600","16.15K","-0.50%"
"Sep 13, 2012","79.237","79.665","80.075","79.150","29.55K","-0.61%"
